,observed_on,place_guess,latitude,longitude,place_state_name,scientific_name,common_name,iconic_taxon_name,park,state,ParkName,Park
11766,2020-06-07,"Joshua Tree National Park, Desert Hot Springs, CA, US",33.90075,-116.08653883,California,Lepus californicus,Black-tailed Jackrabbit,Mammalia,Joshua Tree National Park,CA,Joshua Tree ,Joshua Tree NP
11767,2020-06-06,"Bryce Canyon National Park, Cannonville, UT, US",37.61895,-112.1624971667,Utah,Neotamias,Western Chipmunks,Mammalia,Bryce Canyon National Park,UT,Bryce Canyon ,Bryce Canyon NP
11768,2020-06-02,"Yellowstone National Park, US",44.8048074894,-110.3196696446,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
11769,2020-06-02,"Yellowstone National Park, US",44.987164544399995,-110.2924172259,Wyoming,Ovis canadensis,Bighorn Sheep,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
11770,2020-06-06,"Yellowstone National Park, US",44.9467721772,-110.72503942600001,Wyoming,Ursus americanus,American Black Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
11771,2020-06-08,"Rocky Mountain National Park, Estes Park, CO, US",40.3139887616,-105.6486830152,Colorado,Callospermophilus lateralis,Golden-mantled Ground Squirrel,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
11772,2020-06-08,"Zion National Park, Zion, Washington County, US-UT, US",37.252321332,-112.9570506644,Utah,Odocoileus hemionus,Mule Deer,Mammalia,Zion National Park,UT,Zion ,Zion NP
11773,2019-08-06,"Bryce Canyon National Park, Cannonville, UT, US",37.6225325348,-112.1660433633,Utah,Callospermophilus lateralis,Golden-mantled Ground Squirrel,Mammalia,Bryce Canyon National Park,UT,Bryce Canyon ,Bryce Canyon NP
11774,2020-06-06,"Sequoia National Park, Three Rivers, CA, US",36.560305,-118.74273667,California,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,Sequoia and Kings Canyon National Park,CA,Sequoia and Kings Canyon ,Sequoia and Kings Canyon NP
11775,2020-06-08,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Larimer County, US-CO, US",40.3071775195,-105.64221390530001,Colorado,Callospermophilus lateralis,Golden-mantled Ground Squirrel,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
11776,2020-06-08,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Larimer County, US-CO, US",40.3958742321,-105.7137200051,Colorado,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
11777,2020-06-08,"Rocky Mountain National Park, Estes Park, CO, US",40.304005,-105.6679,Colorado,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,Rocky Mountain National Park,CO,Rocky Mountain ,Rocky Mountain NP
11778,2020-06-08,"Redwood National and State Parks, Trinidad, CA, US",41.2366748238,-123.98390853469999,California,Ursus americanus,American Black Bear,Mammalia,Redwood National Park,CA,Redwood ,Redwood NP
